Temperature (°C),pH,TDS (ppm),EC (NTU),Quality,Quality Description
24.355957958988068,7.110027887012901,320.4335658782895,33.13050914195903,Good,"Water is suitable for consumption, but may require treatment."
24.994462118857342,7.102443891536203,347.3464813665705,93.96289246564892,Good,"Water is suitable for consumption, but may require treatment."
47.70218831801654,6.615164742521087,147.26551330544734,47.4984731786894,Excellent,Water is of exceptional quality.
35.3876037939067,8.469191827186801,88.5260850528824,85.57423425541364,Poor,Water is of poor quality and may require significant treatment.
38.18721616011144,7.757296298399146,93.40658848993766,36.786059554362595,Poor,Water is of poor quality and may require significant treatment.
5.746801044021421,6.3256440236459675,660.4182410595039,30.844390359756346,Unacceptable,Water is not suitable for consumption.
6.276650785243698,7.747430128082544,983.7833707718512,37.21901382881193,Poor,Water is of poor quality and may require significant treatment.
30.162170444741438,7.459212444759037,798.195682572296,63.83142234629601,Moderate,"Water is acceptable, but may have some impurities."
23.211798023865565,7.454563230327135,951.5348978762783,76.32583973036748,Poor,Water is of poor quality and may require significant treatment.
13.471510811844833,7.640648392952191,293.46375386679614,12.12153049748963,Poor,Water is of poor quality and may require significant treatment.
17.29456356092539,7.113319934329997,81.37971203138883,42.66947986626497,Excellent,Water is of exceptional quality.
27.20584857929522,7.393621526994478,143.88231667054285,7.263802714142131,Excellent,Water is of exceptional quality.
9.478006772165614,8.394150668981245,906.2764715223705,36.851628948806656,Poor,Water is of poor quality and may require significant treatment.
7.720382817774679,8.229136851247095,303.4410722311074,1.4620392922581549,Poor,Water is of poor quality and may require significant treatment.
36.53078855688165,6.5138256608154075,975.5218426016205,66.69753668481742,Poor,Water is of poor quality and may require significant treatment.
33.12262033164637,7.938097533860086,146.12484306262863,9.335926441471699,Poor,Water is of poor quality and may require significant treatment.
2.8924681028837886,7.647265786660251,537.7703859934234,28.897932408200365,Poor,Water is of poor quality and may require significant treatment.
29.48442177440263,7.597252698613582,905.6755489367929,22.737504754404082,Poor,Water is of poor quality and may require significant treatment.
27.326810065715247,6.36957191792898,625.9147163374802,47.721993598848236,Unacceptable,Water is not suitable for consumption.
19.09223728995024,7.653788904218282,965.525314627467,70.40574521904429,Poor,Water is of poor quality and may require significant treatment.
9.47135534289123,8.931741111877212,744.6039534250287,77.31183210737007,Unacceptable,Water is not suitable for consumption.
35.9146010228956,6.404828082895695,761.9072532555662,48.676603333021816,Unacceptable,Water is not suitable for consumption.
42.535721421243274,8.351926828855367,849.2591269558391,36.81219083619267,Poor,Water is of poor quality and may require significant treatment.
15.017495272642394,6.0888663566154255,253.7279909824658,86.30337310878616,Unacceptable,Water is not suitable for consumption.
34.32356554704472,8.925810262862056,3.4789226031394227,94.5535642730861,Unacceptable,Water is not suitable for consumption.
39.187214878270176,7.275415039446764,248.6832120610415,64.62145600276745,Excellent,Water is of exceptional quality.
2.9542399556035823,7.845090659220299,977.8138779032748,71.24421519096468,Poor,Water is of poor quality and may require significant treatment.
10.96936911343273,6.316215372671308,365.8595659453554,4.594994810160069,Unacceptable,Water is not suitable for consumption.
22.902648185181544,7.62321083289592,74.47891927920358,62.52490823765221,Poor,Water is of poor quality and may require significant treatment.
26.59857015745761,8.752884908932344,543.0830753721929,12.69902957276936,Unacceptable,Water is not suitable for consumption.
6.6319378738138095,8.624686390276445,630.019006607567,47.94386346283355,Unacceptable,Water is not suitable for consumption.
5.603964541410261,8.837415509904336,901.142218216541,78.39743791294501,Unacceptable,Water is not suitable for consumption.
12.4205597317951,6.678339653364678,807.1654980876456,20.307553287742984,Poor,Water is of poor quality and may require significant treatment.
33.581807251218486,7.987979781957566,794.0364660804098,84.84984969331232,Poor,Water is of poor quality and may require significant treatment.
34.00487735540801,6.601250198248256,103.34219349563578,6.999508825899181,Excellent,Water is of exceptional quality.
5.494036496391241,6.428486752520629,875.8042155154538,29.497946808140263,Unacceptable,Water is not suitable for consumption.
22.21280096509789,8.290085396072925,288.4920509358215,51.298173135032386,Poor,Water is of poor quality and may require significant treatment.
37.82538584309121,7.717909786250024,491.0422619678653,90.15387318041311,Poor,Water is of poor quality and may require significant treatment.
42.009552144986,6.598386636460804,719.1545367973014,48.0025050985726,Moderate,"Water is acceptable, but may have some impurities."
39.29378971723776,6.522984285303708,363.1116293850577,98.14459613335659,Good,"Water is suitable for consumption, but may require treatment."
44.321453524099894,7.332047860117694,41.54328395507623,27.33193337869895,Excellent,Water is of exceptional quality.
16.938293985403273,6.636565093971943,150.94022042690435,1.5940182328281538,Excellent,Water is of exceptional quality.
43.53071922510394,6.697267170340146,61.42054993635138,65.82172436075984,Excellent,Water is of exceptional quality.
47.067277574306964,8.742594796729179,749.5614193287684,10.202003310931861,Unacceptable,Water is not suitable for consumption.
7.420517741504357,6.692292984622028,214.96443205355752,24.890346531443043,Excellent,Water is of exceptional quality.
22.10563524138378,8.81029715497015,416.06789890161946,66.3425212514953,Unacceptable,Water is not suitable for consumption.
48.88113773249573,6.514238815054439,435.8568149222686,7.949274440871967,Good,"Water is suitable for consumption, but may require treatment."
5.411985446196449,8.282366565602675,102.64611575459848,86.01400038725345,Poor,Water is of poor quality and may require significant treatment.
49.347355385302215,7.227672503086368,735.1010905665202,78.27772939196448,Moderate,"Water is acceptable, but may have some impurities."
47.790338133568184,8.430541921059412,298.0234937238042,39.93358539345974,Poor,Water is of poor quality and may require significant treatment.
21.27003346678318,7.364413667584504,120.65596199967644,62.98252298271554,Excellent,Water is of exceptional quality.
13.57211523838952,8.040420410091592,919.5914944125386,71.63711474370801,Poor,Water is of poor quality and may require significant treatment.
30.482218959937867,8.398846436444675,777.1466901492868,71.63799353726021,Poor,Water is of poor quality and may require significant treatment.
5.555888715205414,6.653781560320513,101.17036896102061,14.049453531965394,Excellent,Water is of exceptional quality.
21.156057995103033,6.144616860570523,330.79200920550744,35.77627692777621,Unacceptable,Water is not suitable for consumption.
34.95789463004006,6.222361177838082,857.3769580163527,55.16317191270929,Unacceptable,Water is not suitable for consumption.
8.49215192666456,6.114560627947828,78.78870375660763,75.43287841304847,Unacceptable,Water is not suitable for consumption.
37.05248105432467,7.135369912137985,604.1442484344353,81.29326575157053,Moderate,"Water is acceptable, but may have some impurities."
15.523439670420391,8.090719491326642,313.29957615494686,97.04297684513077,Poor,Water is of poor quality and may require significant treatment.
29.052222815627506,7.094611796728486,121.22813573311053,42.25887141477216,Excellent,Water is of exceptional quality.
45.08438846361088,7.273740867983764,264.5322266024537,84.6842448404445,Excellent,Water is of exceptional quality.
1.6248531748047412,8.7593730783325,412.541288230464,85.32055232926304,Unacceptable,Water is not suitable for consumption.
1.1889702403989344,7.563901592735984,335.7520600127676,31.581376040484077,Poor,Water is of poor quality and may require significant treatment.
5.8827645864661,8.069902699835598,699.3451252432529,64.46298875203041,Poor,Water is of poor quality and may require significant treatment.
32.654307278390846,8.827775580936827,94.95833861983138,20.314970800900568,Unacceptable,Water is not suitable for consumption.
7.384124184743252,6.4847692322868085,161.4923404232984,28.101041479914834,Unacceptable,Water is not suitable for consumption.
41.12413622042065,7.810658353988114,5.805978712700277,24.57404409915629,Poor,Water is of poor quality and may require significant treatment.
11.92839340142689,7.657065862917287,606.0648357930236,63.0979796535576,Poor,Water is of poor quality and may require significant treatment.
3.9660441369734123,6.559428847603914,984.2050589635203,54.97114473017761,Poor,Water is of poor quality and may require significant treatment.
35.30444389344559,6.716353786021815,90.56535825034295,48.75076916157736,Excellent,Water is of exceptional quality.
49.011498290505834,7.085993064435163,805.6717505780493,64.14899922107871,Poor,Water is of poor quality and may require significant treatment.
22.31912420310979,6.808036252007721,619.3763722295746,42.60813765927405,Moderate,"Water is acceptable, but may have some impurities."
22.917445116508528,8.511654498234945,346.9988355067185,21.079096645896144,Unacceptable,Water is not suitable for consumption.
23.022220727229165,7.108762101269209,598.6689861467719,64.44600278208206,Moderate,"Water is acceptable, but may have some impurities."
0.9929011200897231,6.474847701577374,996.9499412427232,16.406182897969646,Unacceptable,Water is not suitable for consumption.
13.384741447031228,6.442653066428765,608.6080603062287,50.63260415715033,Unacceptable,Water is not suitable for consumption.
32.55234710580031,8.667468533707504,636.4253469261786,39.26806459655733,Unacceptable,Water is not suitable for consumption.
30.044006654966378,8.634375694792968,573.986377880579,4.988229060249405,Unacceptable,Water is not suitable for consumption.
1.1548224994112954,8.117661282467505,451.3749691293468,79.18097852904891,Poor,Water is of poor quality and may require significant treatment.
23.006634765642463,6.322497857861755,191.73684246815935,8.909356515410295,Unacceptable,Water is not suitable for consumption.
15.24184554758049,8.704410608865508,424.3061827889013,67.85673668065404,Unacceptable,Water is not suitable for consumption.
38.167593808669544,6.342485559900686,675.4237554087065,25.720110357373514,Unacceptable,Water is not suitable for consumption.
34.59255443070467,7.804896417221481,632.216372322701,51.54760041728025,Poor,Water is of poor quality and may require significant treatment.
33.68814381014049,6.335628353233058,44.49503840185376,32.756465735018395,Unacceptable,Water is not suitable for consumption.
24.85854854401482,7.950016142268339,188.91700582103422,13.09161977200326,Poor,Water is of poor quality and may require significant treatment.
19.528801395668427,6.951298464842904,169.91148555683023,68.21200896851705,Excellent,Water is of exceptional quality.
3.64024548685995,7.598312037643552,301.3337483906119,77.35047620769929,Poor,Water is of poor quality and may require significant treatment.
32.96469406580427,8.462179132298827,591.561007487529,10.394789593777709,Poor,Water is of poor quality and may require significant treatment.
49.61377770838837,8.585649560930264,237.39936283501396,59.7546086074231,Unacceptable,Water is not suitable for consumption.
29.343648066340066,7.01872710238596,994.2816339010177,55.12204739770367,Poor,Water is of poor quality and may require significant treatment.
35.061232299570314,8.438501633229595,221.91220991423177,31.282811839929348,Poor,Water is of poor quality and may require significant treatment.
24.59471008477201,8.527045534855795,34.29597176646526,31.984498208289157,Unacceptable,Water is not suitable for consumption.
31.004134009420838,6.742209347714962,329.9051292702435,96.56482964685149,Good,"Water is suitable for consumption, but may require treatment."
13.504186721074724,7.450727805473497,702.9515734976828,94.4848842437119,Moderate,"Water is acceptable, but may have some impurities."
15.94717354538901,8.872246577950856,508.3826465899883,34.648657100489,Unacceptable,Water is not suitable for consumption.
24.417242675690105,7.678825720559797,808.9555338007572,98.91725547022382,Poor,Water is of poor quality and may require significant treatment.
15.189326321117097,7.914853521333162,823.8589306109454,98.56446199741808,Poor,Water is of poor quality and may require significant treatment.
4.646165652916051,7.064787830929563,994.9166806513464,71.34375150155437,Poor,Water is of poor quality and may require significant treatment.
1.1046956107643113,7.1800649479577014,911.2814646722992,64.10399151988825,Poor,Water is of poor quality and may require significant treatment.
27.28083354868387,8.393988168751786,838.8870356030008,22.061969903394342,Poor,Water is of poor quality and may require significant treatment.
35.67966615015614,8.486192220153193,722.99459258363,29.65882413886105,Poor,Water is of poor quality and may require significant treatment.
27.98193444333954,8.083629221893794,834.0108234592908,37.35665803043339,Poor,Water is of poor quality and may require significant treatment.
3.6446560864119624,7.869435777650041,593.895040266395,99.06659994876337,Poor,Water is of poor quality and may require significant treatment.
13.568639204248168,8.922521603082311,188.98218282234726,51.31493988036676,Unacceptable,Water is not suitable for consumption.
1.1264233949614233,6.23213663983573,277.8937508589231,13.929214761038722,Unacceptable,Water is not suitable for consumption.
44.47223528830232,6.6821592599626145,784.6389699776785,13.149312297100257,Moderate,"Water is acceptable, but may have some impurities."
0.3844322661584354,7.111023366128963,360.7320191370191,92.85301335501362,Good,"Water is suitable for consumption, but may require treatment."
9.156343744720708,6.359370791729602,11.746465149136686,29.29008307842711,Unacceptable,Water is not suitable for consumption.
38.45811092803651,7.626819758028153,655.7004662242963,11.352401668923108,Poor,Water is of poor quality and may require significant treatment.
22.464037303093022,8.668064520688446,616.2226471518954,82.6597947834838,Unacceptable,Water is not suitable for consumption.
16.938427960722958,7.026056746049857,77.21371984089775,98.93340602263616,Excellent,Water is of exceptional quality.
21.461512893195,7.19779847662737,219.18865379622832,40.12947946813043,Excellent,Water is of exceptional quality.
43.691999420743045,8.964201292947987,739.1818145609226,90.73178643971296,Unacceptable,Water is not suitable for consumption.
13.602056436870601,6.162065993003591,624.5289699038829,90.99499009356255,Unacceptable,Water is not suitable for consumption.
0.10329728505129587,6.206952786546143,263.1492040973712,27.856753421885617,Unacceptable,Water is not suitable for consumption.
45.549823472462364,7.337968490154838,152.88159090741848,57.262101028765514,Excellent,Water is of exceptional quality.
36.83654502738816,7.716413338732573,855.3934393769558,12.70974740604821,Poor,Water is of poor quality and may require significant treatment.
3.773887515593249,7.945458378290505,913.0284840112918,14.49678791200576,Poor,Water is of poor quality and may require significant treatment.
36.892691294573574,6.579100442024636,549.213051809563,49.34601577377452,Moderate,"Water is acceptable, but may have some impurities."
11.601947862215267,6.880433475522923,869.4142670808146,26.99199636749815,Poor,Water is of poor quality and may require significant treatment.
22.651495812461576,6.167424722629719,841.7885845071245,89.38188330994436,Unacceptable,Water is not suitable for consumption.
8.933204362468405,7.031764121643156,896.8458064488889,59.958764209415385,Poor,Water is of poor quality and may require significant treatment.
47.79733054797437,8.99846612865921,286.5767945296077,37.28485784984302,Unacceptable,Water is not suitable for consumption.
27.622106997570526,8.990003026209127,916.8288999030916,89.07829952265497,Unacceptable,Water is not suitable for consumption.
3.1985934033601335,6.93515549175393,410.8205883882036,11.816818500855565,Good,"Water is suitable for consumption, but may require treatment."
43.427093886669034,8.14738442426245,677.9812370057349,63.56292274395025,Poor,Water is of poor quality and may require significant treatment.
24.129858535268788,7.130644224940401,728.3887421947896,87.10036715779495,Moderate,"Water is acceptable, but may have some impurities."
37.30397931069419,6.658807141143914,164.09947112151247,40.81544555340668,Excellent,Water is of exceptional quality.
27.83740032981074,8.055591176646805,434.31983538785346,61.571091182088864,Poor,Water is of poor quality and may require significant treatment.
28.467727417843626,8.37072580152714,774.1044553800854,46.42314656515063,Poor,Water is of poor quality and may require significant treatment.
